,capacity,traffic_intensity,block_rate
0,3,0.1,0.00015080681646810438
1,3,0.6,0.019823788546255498
2,3,1.1,0.07579295028756905
3,3,1.6,0.1496201052016365
4,3,2.1,0.22537781996057535
5,3,2.6,0.2956135629709365
6,3,3.1,0.35797454969298614
7,3,3.6,0.4123886296139161
8,3,4.1,0.4596234770024875
9,3,4.6,0.5006583820261706
10,3,5.1,0.5364383029832458
11,3,5.6,0.5677926646319383
12,3,6.1,0.5954209086306533
13,3,6.6,0.6199027116539019
14,3,7.1,0.641715419881271
15,3,7.6,0.6612518377479453
16,3,8.1,0.6788359768084397
17,3,8.6,0.6947361982488947
18,3,9.1,0.709175880692753
19,3,9.6,0.7223419680996983
20,3,10.1,0.7343917840578047
21,3,10.6,0.745458460182663
22,3,11.1,0.7556552685537729
23,3,11.6,0.7650790912156598
24,3,12.1,0.7738132105874445
25,3,12.6,0.7819295645158264
26,3,13.1,0.7894905779448159
27,3,13.6,0.7965506584047302
28,3,14.1,0.8031574233486359
29,3,14.6,0.809352712565432
30,3,15.1,0.815173427477773
31,3,15.6,0.8206522303039105
32,3,16.1,0.8258181292174887
33,3,16.6,0.8306969703133126
34,3,17.1,0.8353118530260651
35,3,17.6,0.8396834823837888
36,3,18.1,0.8438304689042005
37,3,18.6,0.8477695849037513
38,3,19.1,0.851515984367891
39,3,19.6,0.8550833922351372
40,3,20.1,0.8584842679071903
41,3,20.6,0.8617299469584295
42,3,21.1,0.8648307643386983
43,3,21.6,0.8677961618107193
44,3,22.1,0.8706347819122126
45,3,22.6,0.873354550362804
46,3,23.1,0.8759627485312669
47,3,23.6,0.8784660773270343
48,3,24.1,0.8808707136712881
49,3,24.6,0.8831823605293209
50,3,25.1,0.885406291340911
51,3,25.6,0.8875473895640118
52,3,26.1,0.8896101839449998
53,3,26.6,0.8915988800426882
54,3,27.1,0.893517388460561
55,3,27.6,0.8953693501799889
56,3,28.1,0.8971581593347198
57,3,28.6,0.8988869837221984
58,3,29.1,0.9005587833090142
59,3,29.6,0.9021763269549846
60,3,30.1,0.9037422075522051
61,3,30.6,0.90525885575112
62,3,31.1,0.90672855242471
63,3,31.6,0.9081534400037576
64,3,32.1,0.9095355328004122
65,3,32.6,0.9108767264236147
66,3,33.1,0.9121788063780166
67,3,33.6,0.9134434559276523
68,3,34.1,0.9146722632965152
69,3,34.6,0.9158667282702369
70,3,35.1,0.9170282682560744
71,3,35.6,0.9181582238522599
72,3,36.1,0.9192578639723533
73,3,36.6,0.9203283905654615
74,3,37.1,0.9213709429689574
75,3,37.6,0.9223866019265992
76,3,38.1,0.9233763933016239
77,3,38.6,0.9243412915114538
78,3,39.1,0.9252822227080232
79,3,39.6,0.9262000677254071
80,3,40.1,0.9270956648143455
81,3,40.6,0.9279698121813976
82,3,41.1,0.9288232703487981
83,3,41.6,0.9296567643495923
84,3,42.1,0.9304709857712938
85,3,42.6,0.9312665946601043
86,3,43.1,0.932044221296657
87,3,43.6,0.9328044678532706
88,3,44.1,0.9335479099418271
89,3,44.6,0.9342750980605916
90,3,45.1,0.9349865589475818
91,3,45.6,0.9356827968474458
92,3,46.1,0.9363642946982211
93,3,46.6,0.9370315152438202
94,3,47.1,0.9376849020776016
95,3,47.6,0.9383248806219533
96,3,48.1,0.9389518590484138
97,3,48.6,0.9395662291424963
98,3,49.1,0.94016836711705
99,3,49.6,0.9407586343776934
100,3,50.1,0.9413373782435807
101,3,50.6,0.9419049326265077
102,3,51.1,0.9424616186711395
103,3,51.6,0.9430077453589292
104,3,52.1,0.9435436100781044
105,3,52.6,0.9440694991619261
106,3,53.1,0.944585688397256
107,3,53.6,0.9450924435053283
108,3,54.1,0.9455900205964772
109,3,54.6,0.9460786666004527
110,3,55.1,0.9465586196738379
111,3,55.6,0.9470301095859761
112,3,56.1,0.9474933580847174
113,3,56.6,0.947948579243205
114,3,57.1,0.9483959797888368
115,3,57.6,0.9488357594154619
116,3,58.1,0.949268111079799
117,3,58.6,0.949693221282999
118,3,59.1,0.9501112703382139
119,3,59.6,0.9505224326249729
120,3,60.1,0.950926876831123
121,3,60.6,0.9513247661830315
122,3,61.1,0.9517162586647138
123,3,61.6,0.9521015072265003
124,3,62.1,0.9524806599838204
125,3,62.6,0.9528538604066457
126,3,63.1,0.9532212475000998
127,3,63.6,0.9535829559767116
128,3,64.1,0.9539391164207581
129,3,64.6,0.9542898554451209
130,3,65.1,0.9546352958410443
131,3,65.6,0.9549755567211751
132,3,66.1,0.9553107536562252
133,3,66.6,0.9556409988055923
134,3,67.1,0.9559664010422434
135,3,67.6,0.956287066072155
136,3,68.1,0.9566030965485849
137,3,68.6,0.9569145921814332
138,3,69.1,0.9572216498419376
139,3,69.6,0.9575243636629339
140,3,70.1,0.9578228251348982
141,3,70.6,0.9581171231979778
142,3,71.1,0.9584073443302021
143,3,71.6,0.9586935726320613
144,3,72.1,0.9589758899076218
145,3,72.6,0.959254375742346
146,3,73.1,0.9595291075777684
147,3,73.6,0.9598001607831792
148,3,74.1,0.9600676087244496
149,3,74.6,0.9603315228301349
150,3,75.1,0.9605919726549774
151,3,75.6,0.9608490259409294
152,3,76.1,0.9611027486758068
153,3,76.6,0.9613532051496821
154,3,77.1,0.961600458009116
155,3,77.6,0.961844568309323
156,3,78.1,0.9620855955643655
157,3,78.6,0.9623235977954587
158,3,79.1,0.9625586315774719
159,3,79.6,0.9627907520837017
160,3,80.1,0.9630200131289941
161,3,80.6,0.9632464672112838
162,3,81.1,0.9634701655516196
163,3,81.6,0.9636911581327388
164,3,82.1,0.9639094937362522
165,3,82.6,0.9641252199784984
166,3,83.1,0.9643383833451199
167,3,83.6,0.9645490292244179
168,3,84.1,0.9647572019395316
169,3,84.6,0.9649629447794943
170,3,85.1,0.9651663000292069
171,3,85.6,0.9653673089983776
172,3,86.1,0.9655660120494656
173,3,86.6,0.9657624486246689
174,3,87.1,0.965956657271997
175,3,87.6,0.9661486756704606
176,3,88.1,0.9663385406544154
177,3,88.6,0.9665262882370926
178,3,89.1,0.9667119536333468
179,3,89.6,0.9668955712816524
180,3,90.1,0.9670771748653769
181,3,90.6,0.9672567973333587
182,3,91.1,0.9674344709198154
183,3,91.6,0.9676102271636092
184,3,92.1,0.9677840969268916
185,3,92.6,0.9679561104131517
186,3,93.1,0.9681262971846903
187,3,93.6,0.9682946861795416
188,3,94.1,0.9684613057278595
189,3,94.6,0.9686261835677937
190,3,95.1,0.9687893468608682
191,3,95.6,0.9689508222068848
192,3,96.1,0.9691106356583663
193,3,96.6,0.9692688127345558
194,3,97.1,0.9694253784349898
195,3,97.6,0.9695803572526576
196,3,98.1,0.9697337731867641
197,3,98.6,0.9698856497551083
198,3,99.1,0.9700360100060909
199,3,99.6,0.9701848765303649
200,3,100.1,0.9703322714721412
201,3,100.6,0.97047821654016
202,3,101.1,0.9706227330183412
203,3,101.6,0.9707658417761231
204,3,102.1,0.9709075632785013
205,3,102.6,0.9710479175957765
206,3,103.1,0.9711869244130228
207,3,103.6,0.9713246030392841
208,3,104.1,0.9714609724165084
209,3,104.6,0.9715960511282286
210,3,105.1,0.9717298574079987
211,3,105.6,0.971862409147592
212,3,106.1,0.9719937239049712
213,3,106.6,0.9721238189120349
214,3,107.1,0.972252711082151
215,3,107.6,0.9723804170174811
216,3,108.1,0.9725069530161048
217,3,108.6,0.9726323350789478
218,3,109.1,0.972756578916523
219,3,109.6,0.972879699955488
220,3,110.1,0.9730017133450258
221,3,110.6,0.9731226339630551
222,3,111.1,0.9732424764222727
223,3,111.6,0.9733612550760375
224,3,112.1,0.9734789840240964
225,3,112.6,0.9735956771181609
226,3,113.1,0.9737113479673357
227,3,113.6,0.9738260099434071
228,3,114.1,0.9739396761859918
229,3,114.6,0.9740523596075537
230,3,115.1,0.9741640728982905
231,3,115.6,0.9742748285308953
232,3,116.1,0.9743846387651952
233,3,116.6,0.9744935156526727
234,3,117.1,0.9746014710408728
235,3,117.6,0.9747085165776966
236,3,118.1,0.97481466371559
237,3,118.6,0.9749199237156241
238,3,119.1,0.9750243076514766
239,3,119.6,0.9751278264133125
240,3,120.1,0.9752304907115695
241,3,120.6,0.9753323110806499
242,3,121.1,0.9754332978825218
243,3,121.6,0.9755334613102324
244,3,122.1,0.9756328113913363
245,3,122.6,0.975731357991239
246,3,123.1,0.975829110816462
247,3,123.6,0.9759260794178268
248,3,124.1,0.9760222731935654
249,3,124.6,0.9761177013923539
250,3,125.1,0.9762123731162756
251,3,125.6,0.9763062973237139
252,3,126.1,0.976399482832176
253,3,126.6,0.9764919383210517
254,3,127.1,0.976583672334306
255,3,127.6,0.9766746932831102
256,3,128.1,0.9767650094484114
257,3,128.6,0.9768546289834433
258,3,129.1,0.9769435599161778
259,3,129.6,0.9770318101517207
260,3,130.1,0.9771193874746544
261,3,130.6,0.9772062995513243
262,3,131.1,0.977292553932076
263,3,131.6,0.97737815805344
264,3,132.1,0.9774631192402685
265,3,132.6,0.9775474447078235
266,3,133.1,0.9776311415638184
267,3,133.6,0.9777142168104141
268,3,134.1,0.9777966773461715
269,3,134.6,0.9778785299679595
270,3,135.1,0.977959781372822
271,3,135.6,0.9780404381598038
272,3,136.1,0.9781205068317362
273,3,136.6,0.978199993796984
274,3,137.1,0.9782789053711544
275,3,137.6,0.9783572477787692
276,3,138.1,0.9784350271549008
277,3,138.6,0.9785122495467731
278,3,139.1,0.9785889209153275
279,3,139.6,0.9786650471367571
280,3,140.1,0.9787406340040067
281,3,140.6,0.9788156872282417
282,3,141.1,0.9788902124402864
283,3,141.6,0.9789642151920311
284,3,142.1,0.9790377009578105
285,3,142.6,0.9791106751357532
286,3,143.1,0.979183143049103
287,3,143.6,0.9792551099475125
288,3,144.1,0.9793265810083107
289,3,144.6,0.9793975613377438
290,3,145.1,0.9794680559721912
291,3,145.6,0.9795380698793558
292,3,146.1,0.9796076079594306
293,3,146.6,0.979676675046242
294,3,147.1,0.9797452759083688
295,3,147.6,0.9798134152502398
296,3,148.1,0.9798810977132085
297,3,148.6,0.9799483278766067
298,3,149.1,0.9800151102587769
299,3,149.6,0.9800814493180843
300,3,150.1,0.9801473494539085
301,3,150.6,0.9802128150076157
302,3,151.1,0.9802778502635118
303,3,151.6,0.9803424594497765
304,3,152.1,0.9804066467393797
305,3,152.6,0.9804704162509792
306,3,153.1,0.9805337720498016
307,3,153.6,0.9805967181485059
308,3,154.1,0.9806592585080303
309,3,154.6,0.9807213970384225
310,3,155.1,0.9807831375996551
311,3,155.6,0.9808444840024236
312,3,156.1,0.980905440008931
313,3,156.6,0.9809660093336561
314,3,157.1,0.9810261956441081
315,3,157.6,0.9810860025615666
316,3,158.1,0.9811454336618075
317,3,158.6,0.9812044924758154
318,3,159.1,0.981263182490483
319,3,159.6,0.981321507149297
320,3,160.1,0.9813794698530109
321,3,160.6,0.9814370739603067
322,3,161.1,0.9814943227884425
323,3,161.6,0.9815512196138898
324,3,162.1,0.981607767672958
325,3,162.6,0.981663970162408
326,3,163.1,0.9817198302400545
327,3,163.6,0.9817753510253568
328,3,164.1,0.9818305356000003
329,3,164.6,0.9818853870084652
330,3,165.1,0.9819399082585873
331,3,165.6,0.9819941023221073
332,3,166.1,0.9820479721352101
333,3,166.6,0.982101520599056
334,3,167.1,0.9821547505803002
335,3,167.6,0.982207664911605
336,3,168.1,0.9822602663921418
337,3,168.6,0.9823125577880848
338,3,169.1,0.9823645418330955
339,3,169.6,0.9824162212287989
340,3,170.1,0.9824675986452519
341,3,170.6,0.9825186767214025
342,3,171.1,0.9825694580655414
343,3,171.6,0.9826199452557468
344,3,172.1,0.9826701408403193
345,3,172.6,0.9827200473382116
346,3,173.1,0.982769667239449
347,3,173.6,0.9828190030055439
348,3,174.1,0.9828680570699027
349,3,174.6,0.9829168318382253
350,3,175.1,0.9829653296888989
351,3,175.6,0.9830135529733844
352,3,176.1,0.9830615040165958
353,3,176.6,0.9831091851172742
354,3,177.1,0.9831565985483552
355,3,177.6,0.9832037465573298
356,3,178.1,0.9832506313665988
357,3,178.6,0.9832972551738233
358,3,179.1,0.9833436201522666
359,3,179.6,0.9833897284511327
360,3,180.1,0.9834355821958979
361,3,180.6,0.9834811834886374
362,3,181.1,0.9835265344083466
363,3,181.6,0.9835716370112566
364,3,182.1,0.9836164933311454
365,3,182.6,0.9836611053796434
366,3,183.1,0.9837054751465333
367,3,183.6,0.9837496046000471
368,3,184.1,0.9837934956871563
369,3,184.6,0.9838371503338582
370,3,185.1,0.9838805704454577
371,3,185.6,0.9839237579068446
372,3,186.1,0.9839667145827659
373,3,186.6,0.9840094423180944
374,3,187.1,0.9840519429380928
375,3,187.6,0.9840942182486733
376,3,188.1,0.9841362700366534
377,3,188.6,0.9841781000700079
378,3,189.1,0.9842197100981165
379,3,189.6,0.984261101852007
380,3,190.1,0.9843022770445962
381,3,190.6,0.9843432373709256
382,3,191.1,0.9843839845083941
